label,jitter,shimmer,mean_pitch
neutral,0.02406048828709186,0.1139902279419543,39.61694110989982
neutral,0.031192237710651858,0.1720016608090671,38.06784453028747
sad,0.02732697145231423,0.13294239905452823,46.795885141341564
neutral,0.02479458130447125,0.09254368292162521,48.69555921401296
neutral,0.022702834766312543,0.11576625221304475,38.53192547466507
fear,0.022102675780932293,0.10715836464859425,44.31312124640317
happy,0.028317914457144513,0.11948574316769917,73.47373411330082
happy,0.02288556653323884,0.1265809565017369,45.002649776408525
disgust,0.027248688300516133,0.11103629325006666,87.29107523716844
angry,0.027988714366794145,0.12450920331624753,56.3846467148968
neutral,0.04189490357907766,0.1378252400839823,34.546636727496164
sad,0.027577247127543808,0.10513636444993907,51.88349353752904
happy,0.02366326042066472,0.1346828433432312,66.93791818355014
fear,0.02677444543665864,0.12076263756938826,49.638314509533224
disgust,0.019462083299088245,0.10625600087176214,74.07107013803652
disgust,0.02460132396094596,0.10894379871012108,81.76883812969095
happy,0.03491075145064994,0.13138298970878284,67.16193267293463
happy,0.03337623059164056,0.14472427762693055,48.628977490985264
neutral,0.03179711454387163,0.12747842775136636,36.51577128454695
neutral,0.023966925380306144,0.11731894953251683,37.76609927311335
happy,0.027597426005198544,0.13798712800388208,45.38699708454343
fear,0.021697129504460885,0.1153076011852044,90.77604550715681
neutral,0.02083961887081978,0.1190390821674474,69.23910905440498
disgust,0.03151063908655372,0.13364952471749197,66.77935711124063
disgust,0.022777687773748646,0.13203983900912963,44.40589033095341
neutral,0.02355802318932338,0.10734862123254588,74.78157877598342
fear,0.01808377651406815,0.09088941213211713,134.57900668842456
sad,0.01200118353417889,0.07232607770897154,86.66647953849167
neutral,0.019641435148174215,0.11625169526569899,77.25195871846671
neutral,0.010848191128503945,0.08116462679311283,86.356958899756
happy,0.02156892838942889,0.10572743560774045,83.9764658901633
disgust,0.02510500794206106,0.11302675209813151,74.30460173738312
angry,0.019683093207162224,0.10753237778338459,76.16458117358285
happy,0.01944372737457417,0.1183094748035451,82.46639028336297
fear,0.01276351715150138,0.07352760011715134,141.3483851927653
fear,0.012981970606028754,0.09461300090392526,134.2919913921021
fear,0.01713045351196627,0.11557540539576998,127.20162288862949
neutral,0.015486183992663625,0.08703020082740585,83.4355637359723
sad,0.022721958711559007,0.1190350801154816,87.27354509500991
happy,0.01484201225780482,0.1162954967713752,105.06345130002242
neutral,0.03608079608693188,0.1325704447781452,39.07582143511646
sad,0.01948481682665481,0.13226818948838573,31.02992205276793
sad,0.027613389787151794,0.11194792301003037,42.64630773193225
angry,0.02104099619222324,0.11609652213582322,139.62448710934825
angry,0.025298976744984752,0.12880135792557737,47.68506436221759
happy,0.020594044329434864,0.13146375338223942,45.30037523690689
angry,0.02246416420805459,0.09912072791346037,97.49738010479032
disgust,0.028451976850957166,0.0989819372593408,49.8400128016772
happy,0.0257691105952925,0.11829252945600972,70.51912941254203
fear,0.02080595142294113,0.12491021424383081,100.75042705471046
sad,0.02598002227473267,0.15608023236238616,51.905070551554886
fear,0.026755271931311428,0.09576831947964239,95.08771042471133
sad,0.030801045321623668,0.10889728472467315,34.48526065779115
neutral,0.025729488606829616,0.108268063346302,39.21758970520348
angry,0.021336803730975653,0.12190725696051397,126.74572267698132
neutral,0.021896299428304133,0.0989602491107082,37.89967849360737
neutral,0.03767502013033565,0.11605178212498377,34.80709269036243
disgust,0.026632007584093266,0.12982817777428696,77.27757988704072
angry,0.028562838727242818,0.14210057400845705,47.78578257236335
disgust,0.024356097649406026,0.11048097765324447,44.27456353813093
disgust,0.02695485677398645,0.11846931625754664,43.1258456569284
sad,0.03051954849690003,0.11878738426090084,34.82237336076852
angry,0.033829336047768235,0.11061109710832194,45.326920349717305
angry,0.025967045613947345,0.14130202781074433,79.12639615213278
fear,0.02511423124238111,0.11371008662986595,60.28866299511301
neutral,0.03439191405017203,0.11728103828342439,40.402190453331066
fear,0.030729960796593434,0.11932621538608727,43.45207657265693
fear,0.027198189139964135,0.1406849671237333,61.123877974201896
disgust,0.03522120703439003,0.12125132170459922,44.6062938257233
sad,0.0300522561392149,0.12546463650727696,40.2142952011017
neutral,0.015275778325736535,0.09903879799314821,79.16641510149317
fear,0.011951396918583755,0.07891954901627622,136.09823538082927
happy,0.021115265831406556,0.11705711707467704,86.50480314286186
fear,0.016262248099248543,0.09795097400161881,121.69683203990509
angry,0.022917164531696312,0.14148215654132196,77.73116340860383
neutral,0.02047974647849512,0.10825277927393172,73.5611851226055
sad,0.014809576791737193,0.09526463943068722,79.12219312108252
sad,0.022307607699947062,0.12140331894887747,73.94384111168326
disgust,0.02631721126299264,0.11236334951267737,87.84678123637498
neutral,0.013303854120120782,0.08905379987750468,78.17396926300886
sad,0.010911529250671636,0.0688612548658364,83.74297677894567
sad,0.013280915864132053,0.0779767914952504,86.05548408699505
happy,0.014414646697323133,0.10594578164495717,87.60253188335294
disgust,0.024784782810484532,0.13822300077009253,69.4111539399784
angry,0.024779374758570297,0.13856509640909545,47.429873579298395
angry,0.02778547563797437,0.13083478235100723,101.46008259427403
happy,0.024252309826647427,0.10372045183578885,104.843871571976
fear,0.021533670796545595,0.12069546016624974,58.347433059416
angry,0.035399281673252556,0.17742199367855666,59.37946586584515
sad,0.021092254677241344,0.1032856360772109,53.991911955108996
disgust,0.029095514890683294,0.12784008530925922,59.24042973784847
angry,0.023533146445134285,0.10767115623558744,112.7651684758327
happy,0.017327672974385904,0.12447247314286077,96.28540282605725
fear,0.014975893515371833,0.08257209767339489,109.32918511589813
angry,0.022690930056399695,0.16285993015963804,75.21336366696357
angry,0.015624627088077853,0.10585961378005453,129.17742838346538
angry,0.02158532251657028,0.10340957971670453,130.97744388235216
neutral,0.014681948216229953,0.09378615120349963,85.0757786121521
happy,0.017756836985059952,0.11722328093382899,103.88751528937463
neutral,0.015745732427432747,0.10835624594940477,89.35369128067252
angry,0.030216838980615782,0.12485282751386856,81.62104115410293
angry,0.02680470735918788,0.11531759843880918,103.50265410371996
happy,0.018789632544078064,0.11866640405032716,105.28666583145566
sad,0.02869726171723007,0.13054080222698242,76.83819427420427
disgust,0.025757056903507724,0.11948976553681163,67.43012664734194
sad,0.02052979346470188,0.10905061538809005,82.09249162058863
neutral,0.013316758076540572,0.08556141348930285,81.27010570022823
fear,0.02014623625259128,0.10635768810685776,118.8971543216912
neutral,0.012091722054119212,0.08433342010514394,81.0518741431688
disgust,0.021699953334913646,0.10912022647525131,67.88788913368211
fear,0.026077031078628604,0.145288614316902,45.854442999118774
fear,0.03265102221386132,0.16490977925806807,99.11514830274014
fear,0.0279464148793956,0.1338749552079611,124.32364535188884
neutral,0.02202123280602017,0.13370144979044843,43.106948902317704
disgust,0.02628949057870841,0.14349318822751542,41.67155646341238
happy,0.036042941072426254,0.13122962065919128,88.15772946880547
disgust,0.03953575725267549,0.12294659110121892,42.40154789253669
sad,0.024887533237086177,0.13177754610236114,44.368091085569304
angry,0.02652449105164578,0.12387568354790902,45.794249789686674
sad,0.02213144018391715,0.1128927270313527,49.410627368534236
happy,0.022110653065472566,0.15595914827299381,57.870427313297135
angry,0.027803923759188373,0.149565968006251,90.81487623342144
neutral,0.029141216522003514,0.11958103555932124,54.9342829234573
neutral,0.02316158141427117,0.13507108867932802,41.87078422103119
happy,0.02103615910284841,0.13049737614536666,65.09651532002086
fear,0.03681137672651971,0.15716054766520998,97.49134829718784
fear,0.024524285921568415,0.11693123547800849,95.42406469580729
neutral,0.016836637562608715,0.08528935018612413,79.39589331751424
fear,0.025659190147213788,0.12972772559359783,88.95198887946876
angry,0.018958559012161636,0.14163081647554238,113.5015496638497
happy,0.03621846035942385,0.13793174743650896,120.84906351906244
disgust,0.02787840636573471,0.15213313223969077,36.23864782830255
happy,0.021537646878323956,0.11938322691939708,63.97409001415364
neutral,0.016319540865627286,0.0943363631789515,62.49915456803634
disgust,0.02025236814505838,0.10421066875245459,72.18299960254231
fear,0.03501807643856958,0.14519306311533542,41.22698812808195
happy,0.02022772767880248,0.10004953971838054,108.8463888927812
sad,0.027457803912789635,0.1282841219812554,118.68103346795836
sad,0.04088819158948523,0.1736158456593764,85.32189603139506
fear,0.04938025937945712,0.1558270548032756,58.37686671845613
sad,0.032905003623127475,0.14857208635325278,101.32697315727783
angry,0.020001292692302726,0.12460135426676802,56.52563320228965
neutral,0.027963670927203827,0.138576939693976,50.334212191018146
happy,0.0152256393795062,0.08995134493257827,115.89224041970455
disgust,0.025654815544244723,0.16633607450344137,47.69060229914549
sad,0.025499808226956275,0.15811793980496938,72.36120025181967
neutral,0.02036232250491564,0.139407472623484,42.31147249469478
neutral,0.01678376651639513,0.10104211644893943,46.111942791392195
